region,duration,entry_year,entry_month,entry_hour
Northeast,31.0,2022,10,13
Northeast,53.0,2023,7,16
Northeast,13.0,2020,12,7
Northeast,43.0,2022,7,3
Northeast,43.0,2022,5,14
Northeast,53.0,2023,5,12
Northeast,23.0,2021,12,18
Northeast,13.0,2020,2,21
Northeast,53.0,2023,11,13
Northeast,43.0,2022,2,23
Northeast,23.0,2021,12,14
Northeast,13.0,2020,4,19
Northeast,,2024,4,17
Northeast,13.0,2020,7,16
Northeast,23.0,2021,7,2
Northeast,13.0,2020,2,9
Northeast,43.0,2022,12,19
Northeast,23.0,2021,6,15
Northeast,,2024,6,6
Northeast,13.0,2020,12,8
Northeast,42.0,2022,5,11
Northeast,23.0,2021,11,8
Northeast,54.0,2023,12,13
Northeast,54.0,2023,12,14
Northeast,53.0,2023,11,4
Northeast,23.0,2021,7,3
Northeast,13.0,2020,11,21
Northeast,23.0,2021,10,10
Northeast,23.0,2021,6,8
Northeast,42.0,2022,4,11
Northeast,12.0,2020,1,15
Northeast,,2021,5,8
Northeast,42.0,2022,10,20
Northeast,53.0,2023,11,3
Northeast,53.0,2023,4,15
Northeast,12.0,2020,3,19
Northeast,23.0,2021,1,9
Northeast,12.0,2020,1,22
Northeast,,2023,12,2
Northeast,43.0,2022,12,9
Northeast,23.0,2021,7,2
Northeast,,2024,3,19
Northeast,13.0,2020,8,6
Northeast,53.0,2023,3,18
Northeast,,2024,9,12
Northeast,,2021,9,4
Northeast,53.0,2023,10,9
Northeast,13.0,2020,10,5
Northeast,,2024,7,21
Northeast,13.0,2020,4,23
Northeast,23.0,2021,6,11
Northeast,23.0,2021,4,4
Northeast,14.0,2020,9,7
Northeast,53.0,2023,1,20
Northeast,43.0,2022,3,14
Northeast,42.0,2022,9,12
Northeast,,2020,8,14
Northeast,42.0,2022,8,23
Northeast,23.0,2021,7,8
Northeast,23.0,2021,10,0
Northeast,23.0,2021,3,9
Northeast,43.0,2022,5,19
Northeast,43.0,2022,9,14
Northeast,,2023,5,21
Northeast,53.0,2023,11,9
Northeast,42.0,2022,5,7
Northeast,14.0,2020,2,5
Northeast,43.0,2022,5,23
Northeast,,2024,2,1
Northeast,,2021,5,22
Intermountain,43.0,2022,12,15
Intermountain,23.0,2021,8,23
Intermountain,43.0,2022,3,2
Intermountain,23.0,2021,8,13
Intermountain,43.0,2022,12,1
Intermountain,55.0,2023,2,22
Intermountain,23.0,2021,12,22
Intermountain,,2024,6,9
Intermountain,14.0,2020,4,18
Intermountain,23.0,2021,3,18
Intermountain,,2022,4,13
Intermountain,12.0,2020,4,3
Intermountain,55.0,2023,6,21
Intermountain,,2021,4,23
Intermountain,,2024,8,20
Intermountain,,2024,1,1
Intermountain,58.0,2024,10,17
Intermountain,10.0,2020,2,18
Intermountain,,2024,8,18
Intermountain,10.0,2020,2,7
Intermountain,23.0,2021,1,16
Intermountain,10.0,2020,8,4
Intermountain,55.0,2023,10,9
Intermountain,10.0,2020,8,17
Intermountain,22.0,2021,6,19
Intermountain,22.0,2021,3,4
Intermountain,10.0,2020,5,13
Intermountain,10.0,2020,12,23
Intermountain,,2021,7,20
Intermountain,10.0,2020,10,7
Intermountain,42.0,2022,10,6
Intermountain,,2024,9,7
Intermountain,22.0,2021,6,17
Intermountain,42.0,2022,6,2
Intermountain,,2023,9,8
Intermountain,10.0,2020,8,6
Intermountain,23.0,2021,2,7
Intermountain,22.0,2021,4,16
Intermountain,42.0,2022,1,13
Intermountain,,2024,4,18
Intermountain,42.0,2022,6,14
Intermountain,9.0,2020,1,5
Intermountain,,2024,6,18
Intermountain,61.0,2024,8,20
Intermountain,42.0,2022,4,23
Intermountain,,2024,5,23
Intermountain,,2024,3,12
Intermountain,,2022,11,17
Intermountain,44.0,2022,4,14
Intermountain,10.0,2020,1,21
Intermountain,54.0,2023,6,21
Intermountain,10.0,2020,6,14
Intermountain,,2022,11,15
Intermountain,9.0,2020,6,0
Intermountain,22.0,2021,4,16
Intermountain,10.0,2020,7,11
Intermountain,,2024,5,0
Intermountain,23.0,2021,11,0
Intermountain,23.0,2021,5,19
Intermountain,,2022,2,15
Intermountain,51.0,2023,7,17
Intermountain,,2024,8,17
Intermountain,,2024,9,23
Intermountain,44.0,2022,7,2
Intermountain,51.0,2023,6,16
Intermountain,44.0,2022,2,21
Intermountain,,2023,10,15
Intermountain,,2021,4,17
Intermountain,44.0,2022,11,22
Midwest,,2020,4,6
Midwest,62.0,2024,6,5
Midwest,,2021,1,6
Midwest,,2021,6,22
Midwest,52.0,2023,5,14
Midwest,52.0,2023,3,6
Midwest,44.0,2022,6,4
Midwest,,2024,6,22
Midwest,,2023,9,21
Midwest,11.0,2020,8,22
Midwest,23.0,2021,1,16
Midwest,51.0,2023,10,6
Midwest,,2024,9,4
Midwest,38.0,2022,8,13
Midwest,23.0,2021,8,23
Midwest,39.0,2022,5,15
Midwest,61.0,2024,10,19
Midwest,11.0,2020,5,17
Midwest,38.0,2022,10,12
Midwest,23.0,2021,7,3
Midwest,,2024,5,12
Midwest,11.0,2020,1,16
