Date,Country_Region,Doses_admin,People_at_least_one_dose
2021-02-18,Venezuela,0.0,0.0
2021-02-19,Venezuela,0.0,0.0
2021-02-20,Venezuela,0.0,0.0
2021-02-21,Venezuela,0.0,0.0
2021-02-22,Venezuela,0.0,0.0
2021-02-23,Venezuela,157.0,157.0
2021-02-24,Venezuela,157.0,157.0
2021-02-25,Venezuela,157.0,157.0
2021-02-26,Venezuela,157.0,157.0
2021-02-27,Venezuela,157.0,157.0
2021-02-28,Venezuela,157.0,157.0
2021-03-01,Venezuela,157.0,157.0
2021-03-02,Angola,0.0,0.0
2021-03-02,Venezuela,157.0,157.0
2021-03-03,Angola,0.0,0.0
2021-03-03,Venezuela,157.0,157.0
2021-03-04,Angola,0.0,0.0
2021-03-04,Venezuela,157.0,157.0
2021-03-05,Angola,0.0,0.0
2021-03-05,Venezuela,12194.0,12194.0
2021-03-06,Angola,0.0,0.0
2021-03-06,Venezuela,12194.0,12194.0
2021-03-07,Angola,0.0,0.0
2021-03-07,Venezuela,12194.0,12194.0
2021-03-08,Angola,0.0,0.0
2021-03-08,Venezuela,12194.0,12194.0
2021-03-09,Angola,6169.0,6169.0
2021-03-09,Venezuela,12194.0,12194.0
2021-03-10,Angola,6169.0,6169.0
2021-03-10,Venezuela,12194.0,12194.0
2021-03-11,Angola,6169.0,6169.0
2021-03-11,Venezuela,12194.0,12194.0
2021-03-12,Angola,6169.0,6169.0
2021-03-12,Venezuela,12194.0,12194.0
2021-03-13,Angola,6169.0,6169.0
2021-03-13,Venezuela,12194.0,12194.0
2021-03-14,Angola,6169.0,6169.0
2021-03-14,Venezuela,12194.0,12194.0
2021-03-15,Angola,6169.0,6169.0
2021-03-15,Venezuela,12194.0,12194.0
2021-03-16,Angola,6169.0,6169.0
2021-03-16,Venezuela,12194.0,12194.0
2021-03-17,Angola,6169.0,6169.0
2021-03-17,Venezuela,12194.0,12194.0
2021-03-18,Angola,6169.0,6169.0
2021-03-18,Venezuela,12194.0,12194.0
2021-03-19,Angola,49000.0,49000.0
2021-03-19,Venezuela,12194.0,12194.0
2021-03-20,Angola,49000.0,49000.0
2021-03-20,Venezuela,12194.0,12194.0
2021-03-21,Angola,49000.0,49000.0
2021-03-21,Venezuela,12194.0,12194.0
2021-03-22,Angola,49000.0,49000.0
2021-03-22,Venezuela,12194.0,12194.0
2021-03-23,Angola,49000.0,49000.0
2021-03-23,Venezuela,12194.0,12194.0
2021-03-24,Angola,49000.0,49000.0
2021-03-24,Venezuela,12194.0,12194.0
2021-03-25,Angola,87022.0,87022.0
2021-03-25,Venezuela,12194.0,12194.0
2021-03-26,Angola,87022.0,87022.0
2021-03-26,Venezuela,12194.0,12194.0
2021-03-27,Angola,87022.0,87022.0
2021-03-27,Venezuela,14223.0,14223.0
2021-03-28,Angola,87022.0,87022.0
2021-03-28,Venezuela,14223.0,14223.0
2021-03-29,Angola,87022.0,87022.0
2021-03-29,Venezuela,14223.0,14223.0
2021-03-30,Angola,130750.0,130750.0
2021-03-30,Venezuela,14223.0,14223.0
2021-03-31,Angola,130750.0,130750.0
2021-03-31,Venezuela,14223.0,14223.0
2021-04-01,Angola,130750.0,130750.0
2021-04-01,Venezuela,14223.0,14223.0
2021-04-02,Angola,130750.0,130750.0
2021-04-02,Venezuela,14223.0,14223.0
2021-04-03,Angola,130750.0,130750.0
2021-04-03,Venezuela,98000.0,98000.0
2021-04-04,Angola,130750.0,130750.0
2021-04-04,Venezuela,98000.0,98000.0
2021-04-05,Angola,130750.0,130750.0
2021-04-05,Venezuela,98000.0,98000.0
2021-04-06,Angola,130750.0,130750.0
2021-04-06,Venezuela,98000.0,98000.0
2021-04-07,Angola,181578.0,181578.0
2021-04-07,Venezuela,98000.0,98000.0
2021-04-08,Angola,181578.0,181578.0
2021-04-08,Venezuela,98000.0,98000.0
2021-04-09,Angola,181578.0,181578.0
2021-04-09,Venezuela,98000.0,98000.0
2021-04-10,Angola,181578.0,181578.0
2021-04-10,Venezuela,98000.0,98000.0
2021-04-11,Angola,181578.0,181578.0
2021-04-11,Venezuela,98000.0,98000.0
2021-04-12,Angola,245442.0,245442.0
2021-04-12,Venezuela,98000.0,98000.0
2021-04-13,Angola,245442.0,245442.0
2021-04-13,Venezuela,250000.0,250000.0
