Country (or dependency),Population in 2023,World Percentage,Area (Km²),Density (P/Km²),ISO
India,1428627.663,17.85%,3_287_590 Km²,480.5033/Km²,IND
China,1425671.352,17.81%,"9,706,961 Km²",151.2696/Km²,CHN
United States,339996.563,4.25%,"9,372,610 Km²",37.1686/Km²,USA
Indonesia,277534.122,3.47%,"1,904,569 Km²",147.8196/Km²,IDN
Pakistan,240485.658,3.00%,881_912 Km²,311.9625/Km²,PAK
Nigeria,223804.632,2.80%,"923,768 Km²",245.7312/Km²,NGA
Brazil,216422.446,2.70%,8_515_767 Km²,25.8936/Km²,BRA
Bangladesh,172954.319,2.16%,147_570 Km²,1328.6803/Km²,BGD
Russia,144444.359,1.80%,"17,098,242 Km²",8.8200/Km²,RUS
Mexico,128455.567,1.60%,1_964_375 Km²,66.0797/Km²,MEX
Ethiopia,126527.06,1.58%,"1,104,300 Km²",112.1126/Km²,ETH
Japan,123294.513,1.54%,"377,930 Km²",338.2566/Km²,JPN
Philippines,117337.368,1.47%,342_353 Km²,393.5251/Km²,PHL
Egypt,112716.598,1.41%,1_002_450 Km²,113.2318/Km²,EGY
DR Congo,102262.808,1.28%,"2,344,858 Km²",45.1083/Km²,COD
Vietnam,98858.95,1.23%,331_212 Km²,315.4110/Km²,VNM
Iran,89172.767,1.11%,1_648_195 Km²,54.9601/Km²,IRN
Turkey,85816.199,1.07%,783_562 Km²,109.5206/Km²,TUR
Germany,83294.633,1.04%,357_114 Km²,238.4002/Km²,DEU
Thailand,71801.279,0.90%,513_120 Km²,140.5416/Km²,THA
United Kingdom,67736.802,0.85%,242_900 Km²,279.9851/Km²,GBR
Tanzania,67438.106,0.84%,"945,087 Km²",76.1324/Km²,TZA
France,64756.584,0.81%,551_695 Km²,118.2646/Km²,FRA
South Africa,60414.495,0.75%,1_221_037 Km²,49.8022/Km²,ZAF
Italy,58870.762,0.74%,"301,336 Km²",199.0780/Km²,ITA
Kenya,55100.586,0.69%,"580,367 Km²",96.8138/Km²,KEN
Myanmar,54577.997,0.68%,"676,578 Km²",83.6227/Km²,MMR
Colombia,52085.168,0.65%,1_141_748 Km²,46.9447/Km²,COL
South Korea,51784.059,0.65%,"100,210 Km²",530.5744/Km²,KOR
Uganda,48582.334,0.61%,"241,550 Km²",242.2817/Km²,UGA
Sudan,48109.006,0.60%,"1,886,068 Km²",25.7543/Km²,SDN
Spain,47519.628,0.59%,"505,992 Km²",95.1236/Km²,ESP
Argentina,45773.884,0.57%,2_780_400 Km²,16.7260/Km²,ARG
Algeria,45606.48,0.57%,"2,381,741 Km²",19.1484/Km²,DZA
Iraq,45504.56,0.57%,438_317 Km²,104.8183/Km²,IRQ
Afghanistan,42239.854,0.53%,652_230 Km²,64.7622/Km²,AFG
Poland,41026.067,0.51%,"312,679 Km²",134.0152/Km²,POL
Canada,38781.291,0.48%,9_984_670 Km²,4.3256/Km²,CAN
Morocco,37840.044,0.47%,"446,550 Km²",84.7861/Km²,MAR
Saudi Arabia,36947.025,0.46%,"2,149,690 Km²",17.1871/Km²,SAU
